v,nu,n,alpha,contam,s,KSstats,ADstats,h
2,0,50,0,,,0.964435754,0.208188056,50
2,0,50,0.005,,,0.973644096,0.214761136,49
2,0,50,0.01,,,0.954383175,0.202620263,49
2,0,50,0.015,,,0.945305776,0.197811444,49
2,0,50,0.02,,,0.939032885,0.196584992,49
2,0,50,0.025,,,0.951643346,0.193796687,48
2,0,50,0.05,,,0.926115575,0.176857257,47
2,0,50,0.075,,,0.934313648,0.172159125,46
2,0,50,0.1,,,0.964230713,0.175430669,45
2,0,50,0.125,,,1.011061371,0.183697822,44
2,0,50,0.15,,,1.191770758,0.209911166,42
2,0,50,0.175,,,1.264466352,0.22903625,41
2,0,50,0.2,,,1.339355829,0.252793409,40
2,0,50,0.225,,,1.416886568,0.287365278,39
2,0,50,0.25,,,1.511355106,0.331113969,38
2,0,50,0.375,,,2.250193978,0.929728346,32
2,0,50,0.5,,,3.765458497,3.149186101,26
2,0,63,0,,,0.997101441,0.215424318,63
2,0,63,0.005,,,1.000676114,0.212420322,62
2,0,63,0.01,,,0.98507983,0.203169696,62
2,0,63,0.015,,,0.972879893,0.202210911,62
2,0,63,0.02,,,0.963302585,0.195277565,61
2,0,63,0.025,,,0.952048342,0.192354644,61
2,0,63,0.05,,,0.941129056,0.182734795,60
2,0,63,0.075,,,0.94359217,0.176079042,58
2,0,63,0.1,,,0.943565798,0.175054241,57
2,0,63,0.125,,,1.001766451,0.173957798,55
2,0,63,0.15,,,1.017637599,0.180977461,54
2,0,63,0.175,,,1.139828078,0.198982058,52
2,0,63,0.2,,,1.165433974,0.208089957,51
2,0,63,0.225,,,1.339645945,0.254398261,49
2,0,63,0.25,,,1.367141282,0.271614067,48
2,0,63,0.375,,,2.112298674,0.816101033,40
2,0,63,0.5,,,3.189149127,2.29359603,33
2,0,79,0,,,1.001963662,0.21677875,79
2,0,79,0.005,,,1.009384253,0.212520901,78
2,0,79,0.01,,,0.98060977,0.205530973,78
2,0,79,0.015,,,0.986989957,0.205830711,77
2,0,79,0.02,,,0.971974247,0.196959548,77
2,0,79,0.025,,,0.966516757,0.196387088,77
2,0,79,0.05,,,0.953985632,0.184537085,75
2,0,79,0.075,,,0.950104301,0.177634285,73
2,0,79,0.1,,,0.954342182,0.173735233,71
2,0,79,0.125,,,0.987935748,0.173431967,69
2,0,79,0.15,,,1.02543442,0.179158173,67
2,0,79,0.175,,,1.102069794,0.192156867,65
2,0,79,0.2,,,1.200480407,0.219632114,63
2,0,79,0.225,,,1.32383983,0.255930536,61
2,0,79,0.25,,,1.28134726,0.263880054,60
2,0,79,0.375,,,2.037482786,0.759659894,50
2,0,79,0.5,,,2.987970104,2.055311276,41
2,0,100,0,,,1.017919345,0.215498077,100
2,0,100,0.005,,,1.016215452,0.216021996,99
2,0,100,0.01,,,1.003011195,0.206499069,99
2,0,100,0.015,,,0.99821489,0.207614896,98
2,0,100,0.02,,,0.985062453,0.201730798,98
2,0,100,0.025,,,0.984822148,0.197583518,97
2,0,100,0.05,,,0.962723551,0.190200229,95
2,0,100,0.075,,,0.953884493,0.177944244,92
2,0,100,0.1,,,0.948298483,0.176961075,90
2,0,100,0.125,,,0.998548322,0.174894142,87
2,0,100,0.15,,,1.020204484,0.177923805,85
2,0,100,0.175,,,1.115078613,0.19405812,82
2,0,100,0.2,,,1.138382234,0.20331604,80
2,0,100,0.225,,,1.269103786,0.238756451,77
2,0,100,0.25,,,1.321096112,0.259306948,75
2,0,100,0.375,,,1.902996878,0.643171045,63
2,0,100,0.5,,,3.023637477,2.033929504,51
2,0,126,0,,,1.030875746,0.218938108,126
2,0,126,0.005,,,1.022809273,0.209784956,125
2,0,126,0.01,,,1.027127136,0.208980258,124
2,0,126,0.015,,,1.011196299,0.2043719,124
2,0,126,0.02,,,1.009694569,0.198940322,123
2,0,126,0.025,,,1.001190998,0.198309145,122
2,0,126,0.05,,,0.969669585,0.185263027,119
2,0,126,0.075,,,0.962257489,0.181880818,116
2,0,126,0.1,,,0.962381446,0.174917775,113
2,0,126,0.125,,,0.967361206,0.173832437,110
